Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
59,55,6,6,54,49,11
48,49,6,6,43,44,12
42,42,5,5,37,37,5
29,29,5,6,24,24,11
48,44,5,5,42,39,13
48,49,5,6,43,44,12
39,38,6,5,34,33,35
56,58,5,5,51,53,38
36,34,6,5,31,29,10
37,36,6,5,32,31,4
200,182,18,16,183,167,25
40,41,5,5,35,36,2
81,77,8,7,74,71,20
76,70,7,7,70,64,13
32,31,6,5,27,26,36
59,60,6,6,54,55,8
32,29,6,6,26,23,10
34,33,6,5,28,27,8
44,45,5,6,39,40,3
34,34,6,6,29,29,12
35,34,6,5,30,29,12
49,49,5,5,44,44,2
48,47,6,5,43,42,32
34,34,5,5,29,29,10
70,67,7,6,64,61,2
34,33,6,6,29,28,38
104,99,10,9,95,91,4
37,38,6,5,32,32,38
33,33,5,5,28,28,12
80,81,7,8,73,74,31
41,40,6,5,36,35,25
28,28,5,5,23,23,9
34,34,6,6,28,28,3
29,29,6,6,24,24,3
45,47,6,6,40,42,5
45,41,5,6,40,36,30
83,77,8,7,75,71,27
76,76,7,7,70,70,25
72,70,6,6,65,63,9
59,53,6,6,54,48,29
64,63,5,5,59,58,2
35,33,5,6,29,27,20
56,54,6,6,50,49,2
44,41,6,6,38,36,12
28,28,6,5,23,23,7
50,49,6,5,45,44,5
54,57,6,5,49,52,12
43,44,5,6,38,39,8
76,73,6,7,70,67,22
31,33,5,6,26,28,6
38,37,6,5,32,31,1
43,45,5,5,38,40,1
65,65,6,6,60,60,4
41,45,5,5,36,40,13
37,36,6,5,32,31,3
84,84,7,7,77,77,2
34,34,6,5,29,29,12
48,43,6,5,43,38,5
45,46,5,6,40,41,9
35,34,6,6,29,29,8
77,70,7,6,71,64,23
37,37,6,5,32,32,17
38,38,5,6,33,33,34
31,30,6,5,26,25,4
85,84,8,8,78,77,33
48,49,5,6,43,44,12
53,49,6,6,48,44,29
39,38,5,5,34,33,29
53,46,6,5,48,41,31
33,70,6,6,28,64,15
34,35,5,5,29,30,7
37,37,6,6,31,31,38
63,64,6,5,58,59,3
48,47,5,5,43,42,26
68,73,7,7,62,67,38
28,25,6,5,23,20,10
29,44,5,5,24,39,11
60,56,5,5,55,51,31
28,31,5,6,23,26,33
82,77,8,7,75,71,1
35,31,5,6,30,26,13
35,34,5,5,30,29,31
34,35,5,6,29,30,5
33,34,5,6,27,29,35
63,67,5,6,58,61,38
80,75,8,7,73,69,35
33,45,5,6,28,39,33
39,40,5,6,34,35,2
27,32,6,6,22,27,17
33,32,6,5,28,27,2
45,43,6,5,40,37,18
62,72,6,7,59,66,13
35,45,5,6,30,39,33
57,53,5,6,52,47,26
45,45,6,6,40,40,7
38,41,5,5,33,36,6
29,29,5,6,23,23,41
62,59,6,5,57,54,3
34,31,6,5,29,26,5
43,43,6,6,38,38,9
123,108,11,9,113,99,30
41,41,6,6,36,36,1
57,56,6,5,52,51,2
45,42,6,6,40,37,4
50,52,5,5,45,47,15
28,27,5,6,23,22,5
192,180,17,15,176,165,18
43,48,5,5,38,43,12
63,59,6,5,58,54,20
58,60,5,5,52,54,1
47,46,6,6,42,41,12
69,60,7,5,63,55,26
96,86,9,8,87,78,18
34,36,5,6,29,31,7
43,43,6,6,38,37,35
57,58,5,6,52,53,8
27,26,6,5,22,21,5
70,70,6,6,64,64,12
28,29,6,6,22,24,3
46,46,6,6,41,41,3
46,46,6,6,41,41,2
53,53,5,5,48,48,12
36,39,6,6,31,34,6
49,46,6,5,44,41,13
41,43,6,6,36,38,4
75,72,7,6,68,66,28
69,73,6,6,63,67,4
85,75,8,6,78,69,31
61,60,6,5,56,55,9
47,45,5,6,41,39,9
44,38,6,6,38,33,2
42,40,5,6,37,35,15
33,33,6,5,28,28,38
27,27,5,5,22,22,9
39,39,6,6,34,34,4
46,46,6,6,41,41,18
29,30,5,6,24,25,13
106,106,10,10,97,97,13
69,63,6,5,63,57,31
34,34,5,6,29,29,31
87,78,8,7,80,71,13
35,35,6,6,30,30,4
32,31,6,5,27,26,6
28,30,5,6,23,25,6
55,55,5,5,50,50,9
28,28,6,6,23,23,2
94,82,8,8,86,75,18
28,27,6,5,23,22,35
83,72,8,6,75,66,11
147,135,12,12,135,124,27
50,50,5,6,45,45,5
35,35,6,5,30,30,35
34,35,6,6,29,30,12
56,55,5,5,51,50,4
98,88,8,8,90,81,11
52,53,5,6,47,48,2
33,31,5,5,28,26,18
81,73,8,7,74,67,28
44,46,5,6,39,41,10
29,30,5,6,24,25,4
30,32,5,6,25,27,38
30,29,6,5,25,24,42
48,48,6,6,43,43,3
143,110,12,10,131,101,13
49,49,6,6,44,44,4
43,42,6,5,38,37,14
43,43,5,5,38,38,2
86,86,8,7,79,79,3
60,57,6,6,55,52,28
61,61,6,6,56,56,12
31,30,6,6,26,25,5
49,48,5,5,44,43,38
38,38,6,5,33,33,35
33,33,5,6,27,27,38
120,119,11,10,110,109,5
47,49,6,6,42,44,17
40,40,5,5,35,35,10
58,65,6,6,53,59,34
53,53,5,5,48,48,4
48,45,6,5,42,39,9
47,43,5,5,42,38,13
65,80,6,7,60,73,38
38,37,6,5,33,31,1
28,25,5,5,23,20,20
33,32,6,5,28,27,3
38,37,6,5,33,32,9
34,35,6,6,29,30,12
38,41,5,6,33,36,12
34,35,5,6,29,30,12
63,72,5,6,58,66,38
38,37,6,5,33,32,1
71,70,7,6,65,64,4
72,71,6,7,66,65,2
37,34,5,6,31,29,26
42,42,5,5,37,37,18
92,93,8,9,84,85,18
45,41,5,5,40,35,20
27,28,5,5,22,23,7
41,39,6,6,36,34,31
97,99,9,8,88,90,33
68,61,6,6,62,56,12
40,39,6,5,35,34,18
37,38,5,6,32,33,3
43,40,6,5,38,35,5
52,53,6,6,47,48,38
33,33,5,5,28,28,13
55,57,6,6,50,52,10
40,41,5,5,35,36,1
37,39,5,6,32,34,2
55,52,5,6,50,47,23
29,29,6,6,24,24,17
43,42,6,5,38,37,7
54,53,6,6,49,48,33
42,43,5,6,36,38,16
72,74,6,6,66,68,1
49,46,6,6,44,41,40
34,36,5,5,29,31,12
62,55,5,5,57,50,13
51,59,6,5,46,54,1
32,33,5,6,27,28,4
54,60,5,6,49,55,39
48,49,6,6,43,44,38
40,38,5,6,34,32,10
86,87,7,8,79,80,12
30,31,6,5,25,26,38
58,60,5,6,53,55,2
36,37,6,6,31,32,1
40,40,5,6,35,35,21
71,60,7,6,65,55,28
67,61,6,6,61,56,31
97,93,8,8,89,85,18
35,32,5,5,29,27,20
81,72,7,6,74,66,11
56,58,6,6,51,53,11
59,52,5,5,53,46,19
37,37,6,6,32,32,36
39,40,6,6,34,35,14
55,59,5,5,50,54,3
33,31,6,5,27,26,1
34,45,6,5,29,40,17
61,61,6,5,55,55,5
38,38,6,6,32,32,17
33,35,6,6,28,30,38
50,52,6,5,44,46,38
72,69,6,6,66,63,33
56,56,6,6,51,51,10
46,45,6,6,41,40,3
52,54,5,6,47,49,6
29,30,5,6,24,25,10
47,40,6,6,41,35,8
38,35,6,5,33,30,21
42,38,5,5,37,33,22
53,46,6,5,48,41,28
35,36,5,6,30,31,7
44,41,5,6,39,36,28
39,39,6,5,34,34,1
30,29,6,5,25,24,10
97,87,9,8,89,80,13
122,112,10,9,112,102,13
26,26,5,5,21,21,17
117,109,11,9,107,100,25
30,31,5,6,25,26,1
48,49,5,5,43,44,12
29,31,5,6,24,26,38
56,54,6,6,51,49,10
73,67,6,6,67,61,25
48,50,5,5,43,45,2
68,69,6,6,61,63,38
55,58,6,6,50,53,12
54,57,6,5,49,52,38
54,56,5,5,49,50,1
37,33,6,5,32,28,13
29,29,5,6,24,24,8
55,50,6,5,50,45,25
56,55,6,6,51,49,1
40,45,5,5,35,40,38
82,95,7,8,75,87,1
32,33,5,6,27,28,38
51,48,6,6,45,43,25
59,58,5,6,54,53,23
37,40,5,6,32,35,14
68,56,7,5,62,51,13
32,30,6,5,27,24,10
91,92,8,9,83,84,1
34,35,6,6,29,30,12
37,40,5,6,32,34,2
32,33,6,6,26,27,36
101,91,9,8,93,83,31
41,41,6,6,36,36,7
61,61,6,5,56,56,12
49,47,5,5,44,41,21
52,49,5,5,47,44,31
35,36,5,6,30,30,12
71,60,7,5,65,55,13
29,32,5,6,24,27,9
94,122,8,11,91,112,1
74,71,7,6,67,65,9
69,58,7,5,63,53,30
46,44,6,5,41,38,13
59,61,5,5,54,56,5
33,35,5,5,28,30,7
80,81,7,8,73,74,9
61,59,6,6,56,54,11
96,88,9,8,88,80,18
98,98,9,9,90,90,1
44,41,5,5,39,36,18
124,144,12,12,120,132,2
105,106,9,10,96,97,1
32,29,6,5,27,24,0
154,141,13,13,141,129,29
37,37,6,6,32,32,7
70,69,6,6,64,62,29
35,36,5,6,30,31,12
70,59,7,5,64,53,13
112,113,9,10,102,103,16
43,41,6,6,38,36,33
31,32,5,6,25,26,38
47,45,5,6,42,40,10
29,28,5,6,24,23,8
31,30,5,5,26,25,28
34,35,5,6,29,30,35
29,31,5,6,23,26,8
69,61,7,6,63,56,13
53,50,5,6,48,45,10
37,36,6,6,31,30,2
38,37,6,6,32,32,7
30,29,6,5,25,24,39
32,35,5,6,27,30,17
56,57,6,6,51,52,7
37,37,6,6,32,32,22
36,38,5,6,31,33,17
48,48,6,5,43,43,37
38,39,5,5,33,34,8
54,54,5,6,49,49,1
39,42,6,6,34,36,1
65,58,6,6,60,53,24
43,43,6,6,38,38,10
30,32,5,6,25,27,7
57,53,5,5,51,47,25
28,28,6,6,22,22,8
70,69,7,6,64,63,15
64,58,5,5,59,53,30
66,64,6,5,60,58,36
52,52,5,5,47,47,35
30,32,5,6,25,27,42
57,57,6,5,52,52,8
81,81,8,7,74,74,12
94,93,8,9,86,85,7
31,32,5,5,26,27,38
103,98,9,9,94,90,13
52,53,6,6,47,48,7
72,63,7,6,65,58,13
27,29,5,6,22,24,7
110,104,9,9,100,94,19
47,46,6,6,41,41,12
39,40,6,6,34,35,35
29,30,5,5,24,25,2
49,44,6,5,44,39,13
36,35,6,5,30,29,1
47,45,5,6,42,40,19
48,48,5,6,43,43,9
30,30,5,6,24,25,16
42,43,5,6,37,38,35
28,28,6,5,23,23,10
54,50,5,6,49,45,25
42,43,5,5,37,38,8
107,96,10,8,98,88,13
28,36,5,6,23,30,13
56,56,6,6,51,51,9
97,94,8,9,88,85,13
40,42,5,6,35,37,17
38,38,6,5,33,32,9
69,63,7,6,63,58,13
48,49,6,5,43,44,3
50,47,5,6,44,42,25
51,46,6,5,46,41,13
43,42,5,6,38,37,8
39,39,6,6,34,34,4
41,41,6,6,36,36,5
45,46,5,6,40,41,5
46,47,5,6,41,42,2
34,32,5,5,28,27,13
37,37,6,6,32,32,41
71,76,6,7,65,70,38
122,106,10,9,112,97,30
34,36,5,5,29,31,31
48,47,6,5,43,42,12
75,69,7,6,68,62,24
87,88,7,8,80,81,7
36,35,6,5,31,30,34
51,52,5,6,46,47,14
31,30,5,5,26,25,31
40,38,5,5,35,33,13
92,94,8,9,84,86,12
29,29,5,5,24,24,23
42,45,5,6,37,39,17
60,61,6,6,55,55,40
43,41,5,5,38,36,7
38,39,6,6,33,34,9
30,30,6,6,25,25,38
29,29,6,5,23,23,33
27,27,5,5,22,22,4
29,28,6,5,24,23,3
35,36,5,6,29,30,10
31,31,5,5,26,26,38
39,36,5,5,34,31,23
31,30,6,5,26,25,38
47,50,6,6,42,45,9
40,42,6,6,35,37,8
29,29,5,6,24,24,5
33,32,6,5,28,27,12
34,33,6,5,29,28,0
53,53,5,5,48,48,5
46,50,6,6,41,45,15
39,40,6,5,34,35,9
33,35,5,6,28,29,9
60,61,5,6,55,56,40
37,36,6,6,31,31,3
29,29,6,6,24,24,2
98,100,8,9,90,92,37
37,36,6,5,32,31,5
26,33,5,6,21,28,17
43,43,6,6,38,38,9
89,82,8,8,82,75,28
53,56,5,6,48,50,15
27,29,5,5,22,24,15
45,46,5,5,40,41,38
135,136,11,12,124,125,25
58,54,5,6,53,49,31
41,42,6,5,36,37,4
42,41,5,6,37,36,13
47,43,5,5,42,38,23
36,31,6,5,31,26,22
97,95,8,8,89,87,3
37,37,6,5,32,32,3
76,86,6,7,70,79,9
51,49,6,5,45,44,16
34,35,6,6,29,30,36
31,30,6,5,26,25,2
35,32,6,6,29,26,2
117,109,11,9,107,100,29
38,37,6,5,33,32,8
61,62,5,6,56,56,1
47,47,5,6,42,42,37
39,36,6,5,34,31,1
60,60,5,5,55,55,12
67,70,6,7,61,64,4
45,45,5,5,40,40,8
66,62,6,6,60,56,24
41,36,6,5,36,31,25
49,49,6,6,44,44,3
50,53,5,5,45,48,3
27,41,6,5,22,36,17
43,39,5,5,37,33,26
105,92,10,8,96,84,13
117,113,11,10,107,104,9
69,62,7,6,63,57,11
29,28,6,5,24,23,2
46,45,5,6,41,40,8
47,42,5,6,42,36,5
53,52,5,6,47,47,22
31,30,5,5,26,25,9
44,45,5,6,39,39,4
43,44,6,5,38,38,35
37,38,6,6,32,32,10
33,34,5,5,28,29,14
61,61,6,5,56,56,8
42,38,6,6,36,32,28
36,40,6,6,31,35,2
31,29,6,6,26,24,10
83,85,8,7,75,78,14
96,83,9,7,88,76,13
30,32,5,5,25,27,2
54,60,5,6,49,55,38
52,53,6,6,47,47,9
52,53,5,6,47,48,11
44,39,6,5,38,33,25
26,26,5,6,21,21,24
36,36,5,6,31,31,21
49,49,6,6,44,44,31
28,27,6,5,23,22,15
34,33,6,5,28,28,4
59,55,6,5,54,49,11
35,36,6,5,30,31,38
29,28,6,6,24,23,10
58,57,5,6,53,52,31
46,44,5,5,41,39,11
51,46,6,5,46,41,13
31,31,6,6,26,26,30
40,41,6,6,35,36,12
27,28,5,5,22,23,12
37,38,6,5,32,32,36
40,43,5,6,35,38,5
29,28,5,5,24,23,8
37,37,5,5,32,32,34
33,35,5,6,28,30,15
34,35,5,5,29,30,7
89,84,8,7,82,77,13
40,40,5,6,35,35,34
34,33,6,5,29,28,1
42,43,6,6,36,38,17
69,72,7,7,63,66,4
27,28,5,6,22,23,7
30,31,6,5,25,26,7
38,39,5,6,33,34,11
32,31,6,5,27,26,5
26,26,5,5,21,20,1
31,29,5,6,26,24,27
41,41,6,5,36,36,41
28,29,5,6,23,24,35
142,123,13,11,130,112,26
45,46,5,6,40,41,15
68,72,7,6,62,66,2
32,33,5,6,27,28,9
40,38,5,6,35,33,13
95,88,9,7,87,81,19
26,27,6,6,21,22,16
147,129,12,11,135,118,30
44,48,6,6,39,43,15
29,29,6,6,24,24,15
71,70,6,6,65,64,1
108,109,9,10,99,100,1
46,46,6,6,41,41,1
56,58,6,6,50,52,9
39,39,6,6,34,34,5
53,53,5,5,48,48,18
34,35,6,6,29,30,10
29,29,5,5,24,24,17
98,97,9,9,89,89,12
45,47,5,6,40,42,2
38,39,5,6,33,33,22
53,56,5,5,48,51,3
71,69,7,6,65,63,25
34,33,6,5,29,28,10
47,48,6,6,42,43,1
33,34,5,6,27,28,7
41,40,6,5,36,35,10
34,33,5,6,28,27,10
38,39,6,6,33,33,35
34,35,5,6,29,30,20
54,53,6,6,48,48,14
76,77,6,7,70,71,8
77,76,7,6,71,70,12
51,50,6,5,45,45,3
46,47,6,6,41,42,1
33,35,5,6,28,30,41
58,64,6,5,53,59,15
40,43,5,6,35,37,31
33,34,5,5,28,29,8
56,60,6,6,51,55,2
53,52,6,5,48,47,10
62,63,5,6,57,58,7
44,40,6,5,39,35,30
70,61,7,5,64,56,11
61,60,6,5,56,55,12
49,49,5,5,44,44,12
36,34,6,5,31,29,2
69,73,6,7,63,67,8
36,38,5,6,31,33,17
52,52,5,6,47,47,12
107,116,9,11,98,106,10
129,110,11,9,118,101,13
76,75,7,6,70,69,37
26,29,5,6,21,24,6
35,34,6,5,30,29,4
84,83,8,8,77,76,33
74,79,7,7,67,72,39
32,30,5,6,26,24,18
68,65,7,6,62,60,11
26,26,5,5,20,20,39
34,33,6,5,29,28,10
43,43,5,5,38,38,10
32,34,5,5,26,28,3
64,65,5,6,59,60,7
42,38,6,6,36,32,2
52,46,6,5,47,41,28
38,41,6,5,33,35,32
42,41,6,6,37,36,11
34,33,5,6,29,28,26
46,44,5,5,41,39,13
58,58,6,5,53,52,10
50,44,6,6,45,39,22
86,80,8,8,79,73,11
46,47,5,5,40,42,4
53,54,5,6,48,49,9
176,165,16,15,161,151,25
37,36,6,5,32,31,3
29,29,6,6,23,24,7
41,40,5,5,36,35,8
68,73,7,7,62,66,36
35,35,6,6,30,30,12
43,42,6,5,38,37,4
62,61,5,6,57,56,23
36,36,5,5,31,31,3
61,53,5,5,55,48,28
32,33,6,6,27,27,4
29,30,5,5,24,25,2
59,51,5,6,54,46,12
46,50,5,5,40,44,9
46,45,5,5,41,40,9
59,56,6,5,54,51,23
33,31,6,6,28,26,4
80,75,8,7,73,69,28
51,53,6,6,46,48,1
48,47,5,6,43,42,13
34,33,6,5,29,28,13
82,81,7,7,74,74,1
96,99,9,9,88,91,14
74,68,6,7,68,62,30
30,26,6,5,24,21,5
68,59,6,6,61,54,26
35,33,5,6,29,28,11
35,36,6,6,30,31,4
28,32,5,6,23,27,33
38,38,5,5,33,33,8
99,100,9,8,91,92,14
28,29,5,6,23,24,38
47,47,6,6,42,42,3
124,110,10,10,113,101,26
38,36,5,5,33,31,5
42,43,5,5,37,38,33
36,38,5,6,31,33,35
34,34,5,5,29,29,9
30,31,5,6,25,26,12
35,35,6,6,30,30,3
30,31,6,6,24,26,9
44,42,6,5,38,36,11
36,35,5,5,31,30,10
82,81,8,7,75,74,34
47,46,6,5,42,41,33
35,34,5,5,30,29,28
98,86,9,8,90,79,13
49,47,6,5,43,41,40
30,30,5,5,25,25,12
49,42,6,5,44,37,11
38,38,6,6,33,33,38
37,36,6,5,32,31,13
75,68,7,6,69,62,13
35,32,6,5,29,26,18
41,42,5,6,36,37,5
36,35,6,5,30,30,5
32,33,5,5,27,28,5
85,101,7,9,78,93,1
41,37,5,5,36,32,24
29,34,6,5,24,29,33
94,86,8,7,86,79,11
27,26,6,5,22,21,38
54,55,5,5,48,49,2
54,56,5,6,49,51,12
28,29,5,5,23,24,1
42,43,5,6,37,38,35
42,43,5,6,37,38,3
59,63,5,6,53,58,17
55,53,5,6,50,48,18
30,28,5,5,24,23,1
32,32,5,5,27,27,6
28,30,6,6,23,25,6
41,44,6,6,36,39,17
48,47,6,5,43,42,12
52,54,6,6,47,49,3
36,36,5,5,31,31,12
42,40,6,5,37,35,19
125,120,11,10,115,110,35
28,29,6,6,23,24,2
108,104,10,10,99,95,13
28,29,5,5,23,24,42
121,121,11,11,111,111,1
48,50,6,5,43,45,8
36,36,6,5,31,31,5
106,97,9,8,97,89,25
34,32,5,6,29,27,13
39,38,6,5,34,33,39
39,40,6,5,34,35,35
31,32,5,6,26,27,8
93,82,8,8,85,75,28
129,131,11,12,117,119,7
72,68,7,6,65,61,21
33,35,5,5,28,29,13
72,69,6,7,65,62,13
36,33,5,5,31,28,28
35,36,5,6,30,31,1
36,33,5,5,31,28,23
47,48,6,6,42,42,0
86,85,7,7,78,78,16
39,39,6,6,34,34,1
46,48,5,6,41,43,3
81,81,8,8,74,74,8
58,60,6,5,53,55,40
40,40,5,6,35,35,1
82,75,7,7,75,68,13
95,96,8,9,87,88,16
34,38,6,5,29,33,17
45,46,5,5,40,41,10
81,81,8,8,74,74,5
36,35,6,5,30,30,12
176,164,15,14,161,150,24
86,89,8,8,79,82,33
37,36,6,5,31,30,9
31,30,6,5,26,25,3
28,28,6,5,23,23,6
54,50,5,5,49,45,28
85,81,8,8,78,74,22
34,34,6,6,28,28,9
35,35,6,6,30,30,3
56,50,6,5,51,45,31
33,27,6,5,27,22,12
34,31,5,5,29,26,29
39,39,6,5,34,34,5
74,69,7,7,68,63,23
37,35,6,5,31,29,5
32,31,6,5,26,25,35
104,110,9,10,95,101,12
100,95,9,9,91,86,9
33,33,5,6,28,28,32
47,47,6,5,41,41,1
48,75,6,6,43,69,29
27,27,6,6,22,22,20
106,98,10,9,97,89,13
93,85,9,8,85,78,13
68,61,6,5,62,56,11
40,39,6,5,35,34,40
68,72,7,6,62,66,35
31,29,6,6,26,24,26
28,29,6,6,23,24,35
49,51,6,5,44,46,5
35,28,6,5,29,23,28
46,46,5,6,40,40,2
30,33,5,6,25,27,2
64,63,6,5,59,58,2
40,39,6,5,35,34,1
40,41,5,6,35,36,5
68,69,6,6,62,63,1
77,72,7,6,71,66,25
43,43,5,5,38,38,12
41,37,5,5,36,32,26
56,53,6,5,51,48,22
38,37,5,6,33,32,30
39,41,6,6,34,36,38
25,25,5,5,20,20,17
69,57,6,5,63,52,13
71,73,7,7,65,67,38
37,36,6,5,32,31,40
37,37,6,5,32,31,9
154,154,14,14,141,141,7
45,48,6,6,40,43,12
28,28,6,5,23,22,38
101,99,9,8,93,91,17
70,73,6,7,64,67,36
26,25,6,5,21,20,2
33,33,6,6,28,28,12
42,42,6,6,37,37,4
62,57,6,5,57,52,21
35,36,5,6,30,31,5
134,140,12,13,123,128,5
41,40,5,6,36,35,26
40,41,5,6,35,36,5
46,50,6,6,41,45,14
37,36,6,5,31,30,40
64,57,6,5,59,52,11
62,63,5,5,57,58,10
82,83,8,7,75,76,5
76,81,6,7,70,74,16
42,39,6,6,37,34,40
38,39,5,6,33,34,12
37,35,5,5,32,30,25
40,40,6,6,35,35,14
32,29,6,5,27,24,38
32,30,6,5,27,25,2
49,44,5,5,44,39,11
47,44,6,6,42,39,13
33,34,5,5,28,29,41
69,68,6,6,62,62,34
32,31,6,5,27,26,4
72,69,6,6,66,63,10
32,32,6,6,27,27,8
64,71,6,6,59,64,37
54,47,6,5,49,42,21
35,36,5,6,30,31,17
37,36,6,5,32,31,4
37,36,5,5,32,31,9
107,116,10,10,98,106,38
49,46,6,6,43,40,11
34,34,6,6,29,29,12
76,86,6,8,70,78,9
123,98,11,9,113,90,19
73,72,7,7,66,65,33
33,31,6,5,28,26,1
54,56,6,5,49,51,5
112,100,9,9,103,92,19
71,68,6,6,65,61,23
43,44,5,5,38,39,41
56,51,5,6,51,46,21
85,77,7,6,77,70,28
105,94,10,9,96,86,13
62,59,5,6,57,53,31
63,67,5,6,58,61,12
45,41,5,5,39,35,26
58,52,6,5,52,47,25
39,41,5,6,34,36,16
89,89,7,8,81,82,16
29,29,5,5,24,24,4
45,45,5,5,40,40,3
64,69,6,6,59,63,37
110,110,10,10,101,101,4
35,34,5,5,29,29,17
38,39,5,5,33,34,6
44,45,5,6,39,40,12
79,70,7,7,72,64,18
88,104,7,9,81,95,15
36,36,5,5,31,31,4
39,42,5,6,34,37,3
35,36,5,6,30,31,10
62,64,5,6,56,58,38
38,39,5,6,32,33,14
47,47,6,6,42,42,10
63,58,6,5,57,52,18
67,63,6,5,61,58,1
43,43,6,6,38,38,7
63,63,5,5,57,58,17
38,38,5,5,33,33,12
97,85,9,7,89,78,30
122,106,11,9,111,96,25
28,29,5,6,23,24,42
34,35,5,6,29,29,21
43,43,5,5,38,38,5
83,74,8,6,76,68,25
57,61,6,5,52,56,12
39,34,5,5,34,29,21
57,53,6,6,52,47,13
39,45,5,6,34,40,12
37,37,6,6,32,32,12
48,44,5,5,43,39,5
47,42,6,5,42,37,31
50,54,6,5,45,49,39
43,43,5,5,38,38,2
36,35,6,5,31,30,8
63,84,5,7,58,77,13
42,43,5,5,37,38,7
28,28,5,5,23,23,9
153,145,13,13,140,133,11
36,36,6,6,31,31,35
57,59,5,5,51,53,3
88,88,7,7,81,81,5
142,143,12,13,130,131,18
37,32,6,6,32,26,10
43,42,6,5,38,37,39
55,58,5,6,50,53,1
46,52,6,5,41,47,13
51,51,5,5,46,46,35
146,143,13,12,134,131,16
76,71,7,7,70,65,26
48,52,5,6,43,47,17
84,85,7,8,77,78,12
57,57,5,5,52,52,18
26,27,5,6,21,22,3
36,37,5,6,31,32,35
49,46,5,6,44,41,23
55,49,6,6,50,44,25
30,29,6,5,25,24,9
45,48,5,6,40,43,39
54,55,6,6,49,50,7
70,65,6,6,64,60,27
29,27,6,5,23,22,33
32,31,6,5,27,26,12
53,55,5,6,48,50,10
33,33,6,6,28,28,1
129,119,12,10,118,109,25
51,48,5,6,46,43,25
62,55,6,5,57,50,10
58,58,5,6,52,53,12
76,73,6,6,70,66,1
62,61,6,5,57,56,14
50,49,5,5,45,44,35
35,28,6,5,30,23,13
38,36,5,5,33,31,25
34,34,6,6,28,28,4
40,39,6,5,35,34,7
29,28,6,5,24,23,32
52,49,5,5,47,44,34
39,40,6,6,34,35,3
58,60,5,5,52,54,5
47,42,6,5,42,37,30
68,60,7,5,62,55,31
44,43,6,6,39,38,4
53,57,5,5,47,51,9
51,52,5,5,46,47,38
34,35,5,5,28,29,25
33,32,5,6,28,26,18
49,43,6,6,44,38,13
51,52,6,5,46,47,9
30,30,5,5,25,25,4
31,31,6,6,26,26,8
48,43,6,5,43,37,18
33,33,5,5,28,28,13
52,57,5,6,47,52,7
36,37,5,6,31,32,33
31,33,5,6,26,28,3
49,47,6,5,43,42,40
37,34,6,5,31,28,20
32,35,5,6,27,30,17
44,42,5,6,39,37,30
36,36,5,5,30,30,7
38,35,6,5,32,30,4
68,60,7,5,62,54,18
31,32,5,6,26,27,33
59,73,6,6,54,66,13
43,41,5,5,38,36,31
34,38,5,6,29,33,3
33,33,6,6,28,28,38
40,40,5,5,35,35,7
45,45,5,6,40,40,23
33,32,5,5,28,27,8
54,48,6,5,49,43,30
89,82,7,8,81,75,13
36,37,5,6,31,32,4
30,30,5,5,25,25,3
28,33,5,6,23,28,34
28,28,5,6,23,23,31
31,34,5,5,26,29,34
35,36,6,6,30,31,15
38,38,6,6,33,33,38
60,56,6,5,55,51,8
27,28,6,6,22,23,1
47,47,6,5,42,42,10
40,41,5,6,34,35,41
71,71,7,7,65,65,1
35,35,5,5,30,30,14
72,64,7,6,66,59,22
35,37,6,6,30,32,6
53,59,5,5,48,54,1
44,44,6,5,39,39,17
74,66,6,6,68,60,19
71,73,6,7,65,67,1
38,41,5,6,33,36,38
35,36,6,6,30,31,35
30,31,5,6,25,26,32
58,54,5,6,53,49,13
37,38,6,6,32,33,35
48,48,5,5,43,43,10
31,33,5,6,26,28,3
53,52,5,5,48,47,5
43,44,5,6,38,39,38
43,47,5,5,38,42,24
47,46,6,6,42,41,25
40,36,6,5,35,31,26
47,49,6,6,41,44,36
30,29,5,6,25,24,11
40,41,5,6,35,36,14
53,45,6,6,48,40,5
68,68,6,6,62,61,9
99,94,8,9,91,86,25
30,28,6,5,25,23,26
42,37,6,5,36,31,20
59,60,6,5,54,55,9
44,47,5,5,39,42,3
34,31,6,5,29,25,24
33,33,5,6,28,28,4
70,73,7,6,64,67,17
88,85,8,7,81,78,12
33,30,6,5,28,25,25
79,81,7,7,72,74,35
54,55,5,5,49,50,38
41,44,5,6,35,38,1
55,51,6,5,50,46,26
37,37,6,6,32,32,4
67,68,6,7,61,62,38
28,27,6,5,23,22,2
52,52,5,6,47,47,3
33,33,6,5,28,27,39
37,37,6,6,32,32,12
47,48,6,6,41,43,17
49,49,6,6,44,44,18
50,49,5,5,45,44,1
60,57,6,6,55,51,13
38,39,6,6,33,34,10
76,83,7,8,70,76,17
34,36,5,6,29,31,2
41,37,6,5,36,32,28
110,92,9,8,101,84,21
47,46,5,6,42,41,9
34,35,5,6,29,30,21
62,61,6,5,57,56,7
56,58,6,5,51,53,9
34,33,6,5,29,28,10
35,35,6,5,30,30,2
33,34,6,6,28,29,7
44,45,5,6,38,40,35
37,38,5,5,32,33,12
42,42,6,5,37,36,16
37,37,6,5,32,32,39
42,45,5,6,37,40,37
49,55,5,6,44,49,15
72,72,7,7,66,66,12
26,28,5,6,20,22,7
41,42,5,5,36,37,16
96,85,8,8,88,78,19
59,59,5,5,54,53,15
